이상용,5,2018.10.24.,샷하면숏숏하면샷샷하면굿
김양미,3,2018.10.24.,만라풀에서도 사망시 장비 드랍이 맘에 안드네요  무과금은 넘 힘들어요  과금 유도 게임
허영민,4,2018.10.24.,접속
Google 사용자,5,2018.10.24.,즐거운게임이됐으면합니다
한정희,1,2018.10.24.,이게임은 너무 돈만 밝히는게임입니다 유저들을 절때 생각하지않는게임 엔씨 직원대표도 랜덤으로 월급을 지급해야합니다
한경환,4,2018.10.24.,안녕하세요 
Google 사용자,1,2018.10.24.,과금의 끝을 달리는 게임   어설프게 과금할 생각이면 시작을 마세요   
time초딩,5,2018.10.24.,처음 해보는데 재미있네요  
김상돈,1,2018.10.24.,케릭터 자체 사라짐 복구 어림없음 짜증난다 현질한거 다 날라가고 못찾겠다고 말만하고 답없는
이원희,1,2018.10.24.,사람인생 망치는게임
김승식,1,2018.10.24.,구글로로그인할려는데잘안돼요   빨리좀해결해주세요  답변도좀해주세요
김경수,1,2018.10.24.,접속이 안되네요 전 구글계정으로 접속 하는 질리언 01섭 유저입니다 다름이 아니라 2018 10 24 am 4시 30분부터 접속이 안되는데 임시점검은 25일이라고 알고있습니다  제가 잘못 알고 있다면 정말 사죄드리고 버그라면 수정 부탁드립니다
임임혁,1,2018.10.24.,현질안하곤 힘들다 무과금으로 즐겻지만 정말 케릭 하나하나 키우기 힘들다 24시간 풀 오토해야 겨우 장비 맞춘다 장비 맞췃는대 인챈해야하는대 현질해야 인챈한다 이미 오토 작업장이 생겻다
박해성,1,2018.10.23.,왜 현질 유도냐 하면 아인 없으면 템안나옴 아인한달 유지하는데 몇십듬 이게 현질 떡칠겜이지 제대로   된게임인가 현질유도 아니라는 말은       아인 없어도 템은 줘야지 그냥 도박 게임 1억 이하 과금 하실꺼면 무과금 하세요 템 변신 1억이하는 무과금과 별차이 없음     
박행복,5,2018.10.23.,문의남깁니다 타인이 제폰으로 자신의계정 리니지m 33만원을 결재하였는대 환불받을수있는방법이 궁금해서 어쭈어봅니다 형사처벌이나 법으로 걸수있는방법이있는지도 궁금합니다 
김진학,5,2018.10.23.,넘돈질이다 쓰바
Google 사용자,4,2018.10.23.,신섭 증축이 시급합    대기시간 한시간    시골섭 통합 건의
Google 사용자,1,2018.10.23.,에라잇 거지갇은것들 돈을 얼마나 처먹을라고 반지 150게 바른디 4하나가 안뜨냐ㅡㅡ 장비도 8게중 8게가 나르고  지미 ㅆ벌
설재익,5,2018.10.23.,리니지좋아용
Suckjin Park,1,2018.10.23.,너무 재미 없음
Google 사용자,5,2018.10.23.,갓게임
김기영,4,2018.10.23.,왜 스마트 터치 캐쉬 않줘
Google 사용자,5,2018.10.23.,수고요
황교윤,1,2018.10.23.,돈먹는게임
조성환,1,2018.10.22.,돈 투자 역대급최고 돈없음 하지마시길
Google 사용자,5,2018.10.22.,리니지는사랑입니다
임상근,1,2018.10.22.,너무모르는 호갱들천지네 하긴한국인들자기만족채우기 전세계1위 말해뭐해호갱들한태
박민호,5,2018.10.22.,갤럭시s8  인데 자꾸띵김 삭제후 다시 다운로드 받아도 같은 현상 어찌해야되는지   
Google 사용자,5,2018.10.22.,폰을바꾸고 다시접속하는데 옛날번호에서계속안바뀌네요
여주하마,5,2018.10.22.,gg
안영오영오,1,2018.10.22.,결제 했는데 접속에러가 뜨네요 조치좀 해주세요 다이아는 사젓는데 제접이안데요 계속 오류가뜸100105
두부,1,2018.10.22.,저기요 저이런게임해본적도없는데 10월 7일 3시에 11만원이결제가됬네요  구글은전화도안받고 여기도전화도안받고 이거어째야되나요ㅋㅋㅋ
Google 사용자,2,2018.10.22.,핸드폰 접속중 접속안되면서 출력화면 메세지가 에러소스1 에러도메인 112 에러코드 3721 에러메세지 null 이 출력됨 제거하고 설치해도 안되는데요 
장영호,4,2018.10.22.,잼나게 놀구잇습니다
임은찬,1,2018.10.22.,최악 사행성게임
Google 사용자,5,2018.10.22.,아템좀 주세효  
진혁,1,2018.10.22.,현질없인 답도없다 소과금은 티도안난다 
